codi_municipi	nom_municipi	codi_provincia	nom_provincia
169	Bienservida	2	Albacete
175	Bogarra	2	Albacete
181	Bonete	2	Albacete
194	Bonillo, El	2	Albacete
208	Carcelén	2	Albacete
215	Casas de Juan Núñez	2	Albacete
220	Casas de Lázaro	2	Albacete
236	Casas de Ves	2	Albacete
241	Casas-Ibáñez	2	Albacete
254	Caudete	2	Albacete
267	Cenizate	2	Albacete
273	Corral-Rubio	2	Albacete
289	Cotillas	2	Albacete
292	Chinchilla de Monte-Aragón	2	Albacete
306	Elche de la Sierra	2	Albacete
313	Férez	2	Albacete
328	Fuensanta	2	Albacete
334	Fuente-Álamo	2	Albacete
349	Fuentealbilla	2	Albacete
352	Gineta, La	2	Albacete
365	Golosalvo	2	Albacete
371	Hellín	2	Albacete
387	Herrera, La	2	Albacete
390	Higueruela	2	Albacete
404	Hoya-Gonzalo	2	Albacete
411	Jorquera	2	Albacete
426	Letur	2	Albacete
432	Lezuza	2	Albacete
447	Liétor	2	Albacete
450	Madrigueras	2	Albacete
463	Mahora	2	Albacete
479	Masegoso	2	Albacete
485	Minaya	2	Albacete
498	Molinicos	2	Albacete
501	Montalvos	2	Albacete
518	Montealegre del Castillo	2	Albacete
523	Motilleja	2	Albacete
539	Munera	2	Albacete
544	Navas de Jorquera	2	Albacete
557	Nerpio	2	Albacete
560	Ontur	2	Albacete
576	Ossa de Montiel	2	Albacete
582	Paterna del Madera	2	Albacete
595	Peñascosa	2	Albacete
609	Peñas de San Pedro	2	Albacete
616	Pétrola	2	Albacete
621	Povedilla	2	Albacete
637	Pozohondo	2	Albacete
642	Pozo-Lorente	2	Albacete
655	Pozuelo	2	Albacete
668	Recueja, La	2	Albacete
674	Riópar	2	Albacete
680	Robledo	2	Albacete
693	Roda, La	2	Albacete
707	Salobre	2	Albacete
714	San Pedro	2	Albacete
729	Socovos	2	Albacete
735	Tarazona de la Mancha	2	Albacete
740	Tobarra	2	Albacete
753	Valdeganga	2	Albacete
766	Vianos	2	Albacete
772	Villa de Ves	2	Albacete
788	Villalgordo del Júcar	2	Albacete
791	Villamalea	2	Albacete
805	Villapalacios	2	Albacete
812	Villarrobledo	2	Albacete
827	Villatoya	2	Albacete
833	Villavaliente	2	Albacete
848	Villaverde de Guadalimar	2	Albacete
851	Viveros	2	Albacete
864	Yeste	2	Albacete
9010	Pozo Cañada	2	Albacete
15	Atzúbia, l'	3	Alacant
20	Agost	3	Alacant
36	Agres	3	Alacant
41	Aigües	3	Alacant
54	Albatera	3	Alacant
67	Alcalalí	3	Alacant
73	Alcosser	3	Alacant
89	Alcoleja	3	Alacant
92	Alcoy/Alcoi	3	Alacant
106	Alfafara	3	Alacant
113	Alfàs del Pi, l'	3	Alacant
128	Algorfa	3	Alacant
134	Algueña	3	Alacant
149	Alicante/Alacant	3	Alacant
152	Almoradí	3	Alacant
165	Almudaina	3	Alacant
171	Alqueria d'Asnar, l'	3	Alacant
187	Altea	3	Alacant
190	Aspe	3	Alacant
204	Balones	3	Alacant
211	Banyeres de Mariola	3	Alacant
226	Benasau	3	Alacant
232	Beneixama	3	Alacant
247	Benejúzar	3	Alacant
250	Benferri	3	Alacant
263	Beniarbeig	3	Alacant
279	Beniardá	3	Alacant
285	Beniarrés	3	Alacant
298	Benigembla	3	Alacant
302	Benidoleig	3	Alacant
319	Benidorm	3	Alacant
324	Benifallim	3	Alacant
330	Benifato	3	Alacant
345	Benijófar	3	Alacant
358	Benilloba	3	Alacant
361	Benillup	3	Alacant
377	Benimantell	3	Alacant
383	Benimarfull	3	Alacant
396	Benimassot	3	Alacant
400	Benimeli	3	Alacant
417	Benissa	3	Alacant
422	Benitachell/Poble Nou de Benitatxell, el	3	Alacant
438	Biar	3	Alacant
443	Bigastro	3	Alacant
456	Bolulla	3	Alacant
469	Busot	3	Alacant
475	Calp	3	Alacant
481	Callosa d'en Sarrià	3	Alacant
494	Callosa de Segura	3	Alacant
507	Campello, el	3	Alacant
514	Campo de Mirra/Camp de Mirra, el	3	Alacant
529	Cañada	3	Alacant
535	Castalla	3	Alacant
540	Castell de Castells	3	Alacant
553	Catral	3	Alacant
566	Cocentaina	3	Alacant
572	Confrides	3	Alacant
588	Cox	3	Alacant
591	Crevillent	3	Alacant
605	Quatretondeta	3	Alacant
612	Daya Nueva	3	Alacant
627	Daya Vieja	3	Alacant
633	Dénia	3	Alacant
648	Dolores	3	Alacant
651	Elche/Elx	3	Alacant
664	Elda	3	Alacant
670	Fageca	3	Alacant
686	Famorca	3	Alacant
699	Finestrat	3	Alacant
703	Formentera del Segura	3	Alacant
710	Gata de Gorgos	3	Alacant
725	Gaianes	3	Alacant
731	Gorga	3	Alacant
746	Granja de Rocamora	3	Alacant
759	Castell de Guadalest, el	3	Alacant
762	Guardamar del Segura	3	Alacant
778	Fondó de les Neus, el/Hondón de las Nieves	3	Alacant
784	Hondón de los Frailes	3	Alacant
797	Ibi	3	Alacant
801	Jacarilla	3	Alacant
818	Xaló	3	Alacant
823	Jávea/Xàbia	3	Alacant
839	Jijona/Xixona	3	Alacant
844	Lorcha/Orxa, l'	3	Alacant
857	Llíber	3	Alacant
860	Millena	3	Alacant
882	Monforte del Cid	3	Alacant
895	Monóvar/Monòver	3	Alacant
909	Mutxamel	3	Alacant
916	Murla	3	Alacant
921	Muro de Alcoy	3	Alacant
937	Novelda	3	Alacant
942	Nucia, la	3	Alacant
955	Ondara	3	Alacant
968	Onil	3	Alacant
974	Orba	3	Alacant
980	Orxeta	3	Alacant
993	Orihuela	3	Alacant
1007	Parcent	3	Alacant
1014	Pedreguer	3	Alacant
1029	Pego	3	Alacant
1035	Penàguila	3	Alacant
1040	Petrer	3	Alacant
1053	Pinós, el/Pinoso	3	Alacant
1066	Planes	3	Alacant
1072	Polop	3	Alacant
1091	Rafal	3	Alacant
1105	Ràfol d'Almúnia, El	3	Alacant
1112	Redován	3	Alacant
1127	Relleu	3	Alacant
1133	Rojales	3	Alacant
1148	Romana, la	3	Alacant
1151	Sagra	3	Alacant
1164	Salinas	3	Alacant
1170	Sanet y Negrals	3	Alacant
1186	San Fulgencio	3	Alacant
1199	Sant Joan d'Alacant	3	Alacant
1203	San Miguel de Salinas	3	Alacant
1210	Santa Pola	3	Alacant
1225	San Vicente del Raspeig/Sant Vicent del Raspeig	3	Alacant
1231	Sax	3	Alacant
1246	Sella	3	Alacant
1259	Senija	3	Alacant
1278	Tàrbena	3	Alacant
1284	Teulada	3	Alacant
1297	Tibi	3	Alacant
1301	Tollos	3	Alacant
1318	Tormos	3	Alacant
1323	Torremanzanas/Torre de les Maçanes, la	3	Alacant
1339	Torrevieja	3	Alacant
1344	Vall d'Alcalà, la	3	Alacant
1357	Vall d'Ebo, la	3	Alacant
1360	Vall de Gallinera, la	3	Alacant
1376	Vall de Laguar, la	3	Alacant
1382	Verger, el	3	Alacant
1395	Villajoyosa/Vila Joiosa, la	3	Alacant
1409	Villena	3	Alacant
9016	Poblets, els	3	Alacant
9021	Pilar de la Horadada	3	Alacant
9037	Montesinos, Los	3	Alacant
9042	San Isidro	3	Alacant
10	Abla	4	Almeria
25	Abrucena	4	Almeria
31	Adra	4	Almeria
46	Albanchez	4	Almeria
59	Alboloduy	4	Almeria
62	Albox	4	Almeria
78	Alcolea	4	Almeria
84	Alcóntar	4	Almeria
97	Alcudia de Monteagud	4	Almeria
101	Alhabia	4	Almeria
118	Alhama de Almería	4	Almeria
123	Alicún	4	Almeria
139	Almería	4	Almeria
144	Almócita	4	Almeria
157	Alsodux	4	Almeria
160	Antas	4	Almeria
176	Arboleas	4	Almeria
182	Armuña de Almanzora	4	Almeria
195	Bacares	4	Almeria
209	Bayárcal	4	Almeria
216	Bayarque	4	Almeria
221	Bédar	4	Almeria
237	Beires	4	Almeria
242	Benahadux	4	Almeria
268	Benitagla	4	Almeria
274	Benizalón	4	Almeria
280	Bentarique	4	Almeria
293	Berja	4	Almeria
307	Canjáyar	4	Almeria
314	Cantoria	4	Almeria
329	Carboneras	4	Almeria
335	Castro de Filabres	4	Almeria
340	Cóbdar	4	Almeria
353	Cuevas del Almanzora	4	Almeria
366	Chercos	4	Almeria
372	Chirivel	4	Almeria
388	Dalías	4	Almeria
412	Enix	4	Almeria
433	Felix	4	Almeria
448	Fines	4	Almeria
451	Fiñana	4	Almeria
464	Fondón	4	Almeria
470	Gádor	4	Almeria
486	Gallardos, Los	4	Almeria
499	Garrucha	4	Almeria
502	Gérgal	4	Almeria
519	Huécija	4	Almeria
524	Huércal de Almería	4	Almeria
530	Huércal-Overa	4	Almeria
545	Íllar	4	Almeria
558	Instinción	4	Almeria
561	Laroya	4	Almeria
577	Láujar de Andarax	4	Almeria
583	Líjar	4	Almeria
596	Lubrín	4	Almeria
600	Lucainena de las Torres	4	Almeria
617	Lúcar	4	Almeria
622	Macael	4	Almeria
638	María	4	Almeria
643	Mojácar	4	Almeria
656	Nacimiento	4	Almeria
669	Níjar	4	Almeria
675	Ohanes	4	Almeria
681	Olula de Castro	4	Almeria
694	Olula del Río	4	Almeria
708	Oria	4	Almeria
715	Padules	4	Almeria
720	Partaloa	4	Almeria
736	Paterna del Río	4	Almeria
741	Pechina	4	Almeria
754	Pulpí	4	Almeria
767	Purchena	4	Almeria
773	Rágol	4	Almeria
789	Rioja	4	Almeria
792	Roquetas de Mar	4	Almeria
806	Santa Cruz de Marchena	4	Almeria
813	Santa Fe de Mondújar	4	Almeria
828	Senés	4	Almeria
834	Serón	4	Almeria
849	Sierro	4	Almeria
852	Somontín	4	Almeria
865	Sorbas	4	Almeria
871	Suflí	4	Almeria
887	Tabernas	4	Almeria
890	Taberno	4	Almeria
904	Tahal	4	Almeria
911	Terque	4	Almeria
926	Tíjola	4	Almeria
932	Turre	4	Almeria
947	Turrillas	4	Almeria
950	Uleila del Campo	4	Almeria
963	Urrácal	4	Almeria
979	Velefique	4	Almeria
985	Vélez-Blanco	4	Almeria
998	Vélez-Rubio	4	Almeria
1002	Vera	4	Almeria
1019	Viator	4	Almeria
1024	Vícar	4	Almeria
1030	Zurgena	4	Almeria
9011	Tres Villas, Las	4	Almeria
9026	Ejido, El	4	Almeria
9032	Mojonera, La	4	Almeria
9047	Balanegra	4	Almeria
13	Adanero	5	Àvila
28	Adrada, La	5	Àvila
52	Albornos	5	Àvila
71	Aldeanueva de Santa Cruz	5	Àvila
87	Aldeaseca	5	Àvila
104	Aldehuela, La	5	Àvila
126	Amavida	5	Àvila
132	Arenal, El	5	Àvila
147	Arenas de San Pedro	5	Àvila
150	Arevalillo	5	Àvila
163	Arévalo	5	Àvila
179	Aveinte	5	Àvila
185	Avellaneda	5	Àvila
198	Ávila	5	Àvila
219	Barco de Ávila, El	5	Àvila
224	Barraco, El	5	Àvila
230	Barromán	5	Àvila
245	Becedas	5	Àvila
258	Becedillas	5	Àvila
261	Bercial de Zapardiel	5	Àvila
277	Berlanas, Las	5	Àvila
296	Bernuy-Zapardiel	5	Àvila
300	Berrocalejo de Aragona	5	Àvila
338	Blascomillán	5	Àvila
343	Blasconuño de Matacabras	5	Àvila
356	Blascosancho	5	Àvila
369	Bohodón, El	5	Àvila
375	Bohoyo	5	Àvila
381	Bonilla de la Sierra	5	Àvila
394	Brabos	5	Àvila
408	Bularros	5	Àvila
415	Burgohondo	5	Àvila
420	Cabezas de Alambre	5	Àvila
436	Cabezas del Pozo	5	Àvila
441	Cabezas del Villar	5	Àvila
454	Cabizuela	5	Àvila
467	Canales	5	Àvila
473	Candeleda	5	Àvila
489	Cantiveros	5	Àvila
492	Cardeñosa	5	Àvila
512	Carrera, La	5	Àvila
527	Casas del Puerto	5	Àvila
533	Casasola	5	Àvila
548	Casavieja	5	Àvila
551	Casillas	5	Àvila
564	Castellanos de Zapardiel	5	Àvila
570	Cebreros	5	Àvila
586	Cepeda la Mora	5	Àvila
599	Cillán	5	Àvila
603	Cisla	5	Àvila
610	Colilla, La	5	Àvila
625	Collado de Contreras	5	Àvila
631	Collado del Mirón	5	Àvila
646	Constanzana	5	Àvila
659	Crespos	5	Àvila
662	Cuevas del Valle	5	Àvila
678	Chamartín	5	Àvila
697	Donjimeno	5	Àvila
701	Donvidas	5	Àvila
723	Espinosa de los Caballeros	5	Àvila
739	Flores de Ávila	5	Àvila
744	Fontiveros	5	Àvila
757	Fresnedilla	5	Àvila
760	Fresno, El	5	Àvila
776	Fuente el Saúz	5	Àvila
782	Fuentes de Año	5	Àvila
795	Gallegos de Altamiros	5	Àvila
809	Gallegos de Sobrinos	5	Àvila
816	Garganta del Villar	5	Àvila
821	Gavilanes	5	Àvila
837	Gemuño	5	Àvila
842	Gilbuena	5	Àvila
855	Gil García	5	Àvila
868	Gimialcón	5	Àvila
874	Gotarrendura	5	Àvila
880	Grandes y San Martín	5	Àvila
893	Guisando	5	Àvila
907	Gutierre-Muñoz	5	Àvila
929	Hernansancho	5	Àvila
935	Herradón de Pinares	5	Àvila
940	Herreros de Suso	5	Àvila
953	Higuera de las Dueñas	5	Àvila
966	Hija de Dios, La	5	Àvila
972	Horcajada, La	5	Àvila
991	Horcajo de las Torres	5	Àvila
1005	Hornillo, El	5	Àvila
1012	Hoyocasero	5	Àvila
1027	Hoyo de Pinares, El	5	Àvila
1033	Hoyorredondo	5	Àvila
1048	Hoyos del Collado	5	Àvila
1051	Hoyos del Espino	5	Àvila
1064	Hoyos de Miguel Muñoz	5	Àvila
1070	Hurtumpascual	5	Àvila
1086	Junciana	5	Àvila
1099	Langa	5	Àvila
1103	Lanzahíta	5	Àvila
1125	Losar del Barco, El	5	Àvila
1131	Llanos de Tormes, Los	5	Àvila
1146	Madrigal de las Altas Torres	5	Àvila
1159	Maello	5	Àvila
1162	Malpartida de Corneja	5	Àvila
1178	Mamblas	5	Àvila
1184	Mancera de Arriba	5	Àvila
1197	Manjabálago y Ortigosa de Rioalmar	5	Àvila
1201	Marlín	5	Àvila
1218	Martiherrero	5	Àvila
1223	Martínez	5	Àvila
1239	Mediana de Voltoya	5	Àvila
1244	Medinilla	5	Àvila
1257	Mengamuñoz	5	Àvila
1260	Mesegar de Corneja	5	Àvila
1276	Mijares	5	Àvila
1282	Mingorría	5	Àvila
1295	Mirón, El	5	Àvila
1309	Mironcillo	5	Àvila
1316	Mirueña de los Infanzones	5	Àvila
1321	Mombeltrán	5	Àvila
1337	Monsalupe	5	Àvila
1342	Moraleja de Matacabras	5	Àvila
1355	Muñana	5	Àvila
1368	Muñico	5	Àvila
1380	Muñogalindo	5	Àvila
1393	Muñogrande	5	Àvila
1407	Muñomer del Peco	5	Àvila
1414	Muñopepe	5	Àvila
1429	Muñosancho	5	Àvila
1435	Muñotello	5	Àvila
1440	Narrillos del Álamo	5	Àvila
1453	Narrillos del Rebollar	5	Àvila
1472	Narros del Castillo	5	Àvila
1488	Narros del Puerto	5	Àvila
1491	Narros de Saldueña	5	Àvila
1511	Navacepedilla de Corneja	5	Àvila
1526	Nava de Arévalo	5	Àvila
1532	Nava del Barco	5	Àvila
1547	Navadijos	5	Àvila
1550	Navaescurial	5	Àvila
1563	Navahondilla	5	Àvila
1579	Navalacruz	5	Àvila
1585	Navalmoral	5	Àvila
1598	Navalonguilla	5	Àvila
1602	Navalosa	5	Àvila
1619	Navalperal de Pinares	5	Àvila
1624	Navalperal de Tormes	5	Àvila
1630	Navaluenga	5	Àvila
1645	Navaquesera	5	Àvila
1658	Navarredonda de Gredos	5	Àvila
1661	Navarredondilla	5	Àvila
1677	Navarrevisca	5	Àvila
1683	Navas del Marqués, Las	5	Àvila
1696	Navatalgordo	5	Àvila
1700	Navatejares	5	Àvila
1717	Neila de San Miguel	5	Àvila
1722	Niharra	5	Àvila
1738	Ojos-Albos	5	Àvila
1743	Orbita	5	Àvila
1756	Oso, El	5	Àvila
1769	Padiernos	5	Àvila
1775	Pajares de Adaja	5	Àvila
1781	Palacios de Goda	5	Àvila
1794	Papatrigo	5	Àvila
1808	Parral, El	5	Àvila
1815	Pascualcobo	5	Àvila
1820	Pedro Bernardo	5	Àvila
1836	Pedro-Rodríguez	5	Àvila
1841	Peguerinos	5	Àvila
1854	Peñalba de Ávila	5	Àvila
1867	Piedrahíta	5	Àvila
1873	Piedralaves	5	Àvila
1889	Poveda	5	Àvila
1892	Poyales del Hoyo	5	Àvila
1906	Pozanco	5	Àvila
1913	Pradosegar	5	Àvila
1928	Puerto Castilla	5	Àvila
1934	Rasueros	5	Àvila
1949	Riocabado	5	Àvila
1952	Riofrío	5	Àvila
1965	Rivilla de Barajas	5	Àvila
1971	Salobral	5	Àvila
1987	Salvadiós	5	Àvila
1990	San Bartolomé de Béjar	5	Àvila
2004	San Bartolomé de Corneja	5	Àvila
2011	San Bartolomé de Pinares	5	Àvila
2047	Sanchidrián	5	Àvila
2050	Sanchorreja	5	Àvila
2063	San Esteban de los Patos	5	Àvila
2079	San Esteban del Valle	5	Àvila
2085	San Esteban de Zapardiel	5	Àvila
2098	San García de Ingelmos	5	Àvila
2102	San Juan de la Encinilla	5	Àvila
2119	San Juan de la Nava	5	Àvila
2124	San Juan del Molinillo	5	Àvila
2130	San Juan del Olmo	5	Àvila
2145	San Lorenzo de Tormes	5	Àvila
2158	San Martín de la Vega del Alberche	5	Àvila
2161	San Martín del Pimpollar	5	Àvila
2177	San Miguel de Corneja	5	Àvila
2183	San Miguel de Serrezuela	5	Àvila
2196	San Pascual	5	Àvila
2200	San Pedro del Arroyo	5	Àvila
2217	Santa Cruz del Valle	5	Àvila
2222	Santa Cruz de Pinares	5	Àvila
2243	Santa María del Arroyo	5	Àvila
2256	Santa María del Berrocal	5	Àvila
2269	Santa María de los Caballeros	5	Àvila
2275	Santa María del Tiétar	5	Àvila
2281	Santiago del Collado	5	Àvila
2294	Santo Domingo de las Posadas	5	Àvila
2308	Santo Tomé de Zabarcos	5	Àvila
2315	San Vicente de Arévalo	5	Àvila
2320	Serrada, La	5	Àvila
2336	Serranillos	5	Àvila
2341	Sigeres	5	Àvila
2354	Sinlabajos	5	Àvila
2367	Solana de Ávila	5	Àvila
2373	Solana de Rioalmar	5	Àvila
2389	Solosancho	5	Àvila
2392	Sotalbo	5	Àvila
2406	Sotillo de la Adrada	5	Àvila
2413	Tiemblo, El	5	Àvila
2428	Tiñosillos	5	Àvila
2434	Tolbaños	5	Àvila
2449	Tormellas	5	Àvila
2452	Tornadizos de Ávila	5	Àvila
2465	Tórtoles	5	Àvila
2471	Torre, La	5	Àvila
2490	Umbrías	5	Àvila
2510	Vadillo de la Sierra	5	Àvila
2525	Valdecasa	5	Àvila
2531	Vega de Santa María	5	Àvila
2546	Velayos	5	Àvila
2562	Villaflor	5	Àvila
2578	Villafranca de la Sierra	5	Àvila
2584	Villanueva de Gómez	5	Àvila
2597	Villanueva del Aceral	5	Àvila
2601	Villanueva del Campillo	5	Àvila
2618	Villar de Corneja	5	Àvila
2623	Villarejo del Valle	5	Àvila
2639	Villatoro	5	Àvila
2644	Viñegra de Moraña	5	Àvila
2657	Vita	5	Àvila
2660	Zapardiel de la Cañada	5	Àvila
2676	Zapardiel de la Ribera	5	Àvila
9014	San Juan de Gredos	5	Àvila
9029	Santa María del Cubillo	5	Àvila
9035	Diego del Carpio	5	Àvila
9040	Santiago del Tormes	5	Àvila
9053	Villanueva de Ávila	5	Àvila
16	Acedera	6	Badajoz
21	Aceuchal	6	Badajoz
37	Ahillones	6	Badajoz
42	Alange	6	Badajoz
55	Albuera, La	6	Badajoz
68	Alburquerque	6	Badajoz
74	Alconchel	6	Badajoz
80	Alconera	6	Badajoz
93	Aljucén	6	Badajoz
107	Almendral	6	Badajoz
114	Almendralejo	6	Badajoz
129	Arroyo de San Serván	6	Badajoz
135	Atalaya	6	Badajoz
140	Azuaga	6	Badajoz
153	Badajoz	6	Badajoz
166	Barcarrota	6	Badajoz
172	Baterno	6	Badajoz
188	Benquerencia de la Serena	6	Badajoz
191	Berlanga	6	Badajoz
205	Bienvenida	6	Badajoz
212	Bodonal de la Sierra	6	Badajoz
227	Burguillos del Cerro	6	Badajoz
233	Cabeza del Buey	6	Badajoz
248	Cabeza la Vaca	6	Badajoz
251	Calamonte	6	Badajoz
264	Calera de León	6	Badajoz
270	Calzadilla de los Barros	6	Badajoz
286	Campanario	6	Badajoz
299	Campillo de Llerena	6	Badajoz
303	Capilla	6	Badajoz
310	Carmonita	6	Badajoz
325	Carrascalejo, El	6	Badajoz
331	Casas de Don Pedro	6	Badajoz
346	Casas de Reina	6	Badajoz
359	Castilblanco	6	Badajoz
362	Castuera	6	Badajoz
378	Codosera, La	6	Badajoz
384	Cordobilla de Lácara	6	Badajoz
397	Coronada, La	6	Badajoz
401	Corte de Peleas	6	Badajoz
418	Cristina	6	Badajoz
423	Cheles	6	Badajoz
439	Don Álvaro	6	Badajoz
444	Don Benito	6	Badajoz
457	Entrín Bajo	6	Badajoz
460	Esparragalejo	6	Badajoz
476	Esparragosa de la Serena	6	Badajoz
482	Esparragosa de Lares	6	Badajoz
495	Feria	6	Badajoz
508	Fregenal de la Sierra	6	Badajoz
515	Fuenlabrada de los Montes	6	Badajoz
520	Fuente de Cantos	6	Badajoz
536	Fuente del Arco	6	Badajoz
541	Fuente del Maestre	6	Badajoz
554	Fuentes de León	6	Badajoz
567	Garbayuela	6	Badajoz
573	Garlitos	6	Badajoz
589	Garrovilla, La	6	Badajoz
592	Granja de Torrehermosa	6	Badajoz
606	Guareña	6	Badajoz
613	Haba, La	6	Badajoz
628	Helechosa de los Montes	6	Badajoz
634	Herrera del Duque	6	Badajoz
649	Higuera de la Serena	6	Badajoz
652	Higuera de Llerena	6	Badajoz
665	Higuera de Vargas	6	Badajoz
671	Higuera la Real	6	Badajoz
687	Hinojosa del Valle	6	Badajoz
690	Hornachos	6	Badajoz
704	Jerez de los Caballeros	6	Badajoz
711	Lapa, La	6	Badajoz
726	Lobón	6	Badajoz
732	Llera	6	Badajoz
747	Llerena	6	Badajoz
750	Magacela	6	Badajoz
763	Maguilla	6	Badajoz
779	Malcocinado	6	Badajoz
785	Malpartida de la Serena	6	Badajoz
798	Manchita	6	Badajoz
802	Medellín	6	Badajoz
819	Medina de las Torres	6	Badajoz
824	Mengabril	6	Badajoz
830	Mérida	6	Badajoz
845	Mirandilla	6	Badajoz
858	Monesterio	6	Badajoz
861	Montemolín	6	Badajoz
877	Monterrubio de la Serena	6	Badajoz
883	Montijo	6	Badajoz
896	Morera, La	6	Badajoz
900	Nava de Santiago, La	6	Badajoz
917	Navalvillar de Pela	6	Badajoz
922	Nogales	6	Badajoz
938	Oliva de la Frontera	6	Badajoz
943	Oliva de Mérida	6	Badajoz
956	Olivenza	6	Badajoz
969	Orellana de la Sierra	6	Badajoz
975	Orellana la Vieja	6	Badajoz
981	Palomas	6	Badajoz
994	Parra, La	6	Badajoz
1008	Peñalsordo	6	Badajoz
1015	Peraleda del Zaucejo	6	Badajoz
1020	Puebla de Alcocer	6	Badajoz
1036	Puebla de la Calzada	6	Badajoz
1041	Puebla de la Reina	6	Badajoz
1054	Puebla del Maestre	6	Badajoz
1067	Puebla del Prior	6	Badajoz
1073	Puebla de Obando	6	Badajoz
1089	Puebla de Sancho Pérez	6	Badajoz
1092	Quintana de la Serena	6	Badajoz
1106	Reina	6	Badajoz
1113	Rena	6	Badajoz
1128	Retamal de Llerena	6	Badajoz
1134	Ribera del Fresno	6	Badajoz
1149	Risco	6	Badajoz
1152	Roca de la Sierra, La	6	Badajoz
1165	Salvaleón	6	Badajoz
1171	Salvatierra de los Barros	6	Badajoz
1187	Sancti-Spíritus	6	Badajoz
1190	San Pedro de Mérida	6	Badajoz
1204	Santa Amalia	6	Badajoz
1211	Santa Marta	6	Badajoz
1226	Santos de Maimona, Los	6	Badajoz
1232	San Vicente de Alcántara	6	Badajoz
1247	Segura de León	6	Badajoz
1250	Siruela	6	Badajoz
1263	Solana de los Barros	6	Badajoz
1279	Talarrubias	6	Badajoz
1285	Talavera la Real	6	Badajoz
1298	Táliga	6	Badajoz
1302	Tamurejo	6	Badajoz
1319	Torre de Miguel Sesmero	6	Badajoz
1324	Torremayor	6	Badajoz
1330	Torremejía	6	Badajoz
1345	Trasierra	6	Badajoz
1358	Trujillanos	6	Badajoz
1361	Usagre	6	Badajoz
1377	Valdecaballeros	6	Badajoz
1383	Valdetorres	6	Badajoz
1396	Valencia de las Torres	6	Badajoz
1400	Valencia del Mombuey	6	Badajoz
1417	Valencia del Ventoso	6	Badajoz
1422	Valverde de Burguillos	6	Badajoz
1438	Valverde de Leganés	6	Badajoz
1443	Valverde de Llerena	6	Badajoz
1456	Valverde de Mérida	6	Badajoz
1469	Valle de la Serena	6	Badajoz
1475	Valle de Matamoros	6	Badajoz
1481	Valle de Santa Ana	6	Badajoz
1494	Villafranca de los Barros	6	Badajoz
1507	Villagarcía de la Torre	6	Badajoz
1514	Villagonzalo	6	Badajoz
1529	Villalba de los Barros	6	Badajoz
1535	Villanueva de la Serena	6	Badajoz
1540	Villanueva del Fresno	6	Badajoz
1553	Villar del Rey	6	Badajoz
1566	Villar de Rena	6	Badajoz
1572	Villarta de los Montes	6	Badajoz
1588	Zafra	6	Badajoz
1591	Zahínos	6	Badajoz
1605	Zalamea de la Serena	6	Badajoz
1612	Zarza-Capilla	6	Badajoz
1627	Zarza, La	6	Badajoz
9017	Valdelacalzada	6	Badajoz
